OBJECTID,BLOCK GEO ID,Median morning temperature,Median afternoon temperature,Median evening temperature,Percent tree coverage,Percent impervious coverage,Mean distance to water,TRACT GEO ID,Contains heat mapping,Total Pop,ALAND20,AWATER20,Percent heat mapping coverage,HRA name 2010,HRA ID 2010,HRA ID 2020,HRA name 2020,CITYNAME,include,2010 Census Tract Geo ID,Cardiovascular disease mortality rate,Quintile rank of cardiovascular disease mortality rate,Life expectancy,Quintile rank of life expectancy,Percent adults with diabetes,Quintile rank of adults with diabetes,Climate Change Disadvantaged,Clean Energy and Energy Efficiency Disadvantaged,Health Burdens Disadvantaged,Affordable and Sustainable Housing Disadvantaged,Reduction and Remediation of Legacy Pollution Disadvantaged,Clean Transit Disadvantaged,Training and Workforce Development Disadvantaged,Critical Clean Water and Waste Infrastructure Disadvantaged,Identified as disadvantaged,Percent of Population 65 Years and Over who Lives Alone,Percent of adults 18 years and over who have limited English ability,Percent of population with a disability,SVI Overall percentile ranking,SVI Sum of series for Socioeconomic Status theme,SVI Sum of series for Household Characteristics theme,SVI Sum of series for Racial and Ethnic Minority Status theme,SVI Sum of series for Housing Type / Transportation theme,SVI Sum of series themes,Percent of population whose income in the past 12 months is under 2.00x (200% of) the federal poverty level,Quintile rank of SVI overall theme,Quintile rank of SVI Socioeconomic Status theme,Quintile rank of SVI Household Characteristics theme,Quintile rank of SVI Racial and Ethnic Minority Status theme,Quintile rank of SVI Housing Type / Transportation theme,Quintile rank of senior social isolation,Quintile rank of limited English population,Quintile rank of population under 200% of the federal poverty level,Quintile rank of population with a disability,Quintile rank of tree coverage,Quintile rank of impervious coverage,Quintile rank of distance to water,Quintile rank of morning temperature,Quintile rank of afternoon temperature,Quintile rank of evening temperature,Percent LCI opportunity area coverage,Contains LCI opportunity area,Quintile rank of cardiovascular disease mortality rate,Shape__Area,Shape__Length,FEMA Community Disaster Resilience Zone,King County Council district,School District,Percent under 18 years old,Percent severe housing cost burdened,Percent single family homes,Percent multi-family homes,Quintile rank of population under 18,Quintile rank of households with severe housing cost burden,Quintile rank of multi-family homes
14,530330316033017,61.6281909942627,89.5582733154297,86.869312286377,0.0170357751277683,0.679660326396135,74213.2283442983,53033031603,1,10,5521,0,99.9999999995332,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",Black Diamond,1,53033031603,159.67,3,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,19.7,3.3,8.3,0.3088,1.8936,2.4797,0.4878,1.6513,6.5124,10.9,2,3,4,2,2,2,1,2,3,5,4,5,3,3,5,0,0,3,59435.5715942383,1099.36669475308,0,9,Enumclaw,29.2,9.43033102386451,84.4,7.89373814041746,5,2,2
15,530330325004022,55.9012565612793,90.2454833984375,83.829948425293,0.0354158667471157,0.623256600855478,43583.0113316441,53033032500,1,48,11434,0,100.000000000265,Bear Creek/Carnation/Duvall,3000,38,"Duvall, Carnation, Skykomish, and Northeast King County",Carnation,1,53033032500,164,3,81.9,3,0.069,3,0,0,0,0,0,0,0,0,0,8.1,3.9,9,0.1374,1.4832,1.9855,0.0803,1.6635,5.2125,7.7,2,2,2,1,2,1,2,1,3,5,4,5,1,4,1,0,0,3,123069.695373535,1699.84368628768,0,3,Riverview,20.8,9.77443609022556,90.9,4.01681457262961,3,2,1
16,530330315023013,59.5837898254395,90.1025238037109,87.2899475097656,0.00154137330607919,0.437791937390682,98519.7285775396,53033031502,1,128,69019,0,100.000000000023,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",Enumclaw,1,53033031502,189.59,3,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,40.5,3.2,12.1,0.241,1.5867,2.4276,0.2482,1.687,5.9495,13.4,2,2,3,1,2,4,1,3,4,5,2,5,2,4,5,29.2638870161098,1,3,743019.622375488,3837.18384505978,0,9,Enumclaw,20.1,12.0059288537549,72.1,17.5355450236967,3,3,2
17,530330072032000,63.3852424621582,90.4058685302734,87.6003952026367,0,1,1357.34056396484,53033007203,1,0,1049,0,100.000000008646,Downtown,2500,43,"Seattle - South Lake Union, Cascade, and Eastlake",Seattle,1,53033007200,87.49,1,78.4,4,0.058,2,0,0,0,0,0,0,0,0,0,0,12.8,8,0.3241,1.8013,1.0102,0.857,2.9209,6.5894,15.7,3,3,1,4,4,1,4,3,2,5,5,1,5,5,5,0,0,1,11293.8515319824,695.293292790403,0,4,Seattle,5,9.15996425379803,3.2,96.8359700249792,1,2,5
18,530330258052004,61.5703468322754,90.5205230712891,87.1153717041016,0.150346928864615,0.504594496922839,16742.9202515426,53033025805,1,98,31423,0,100.000000000101,Renton-South,20200,19,Renton - South,Renton,1,53033025805,184.66,3,79.2,4,0.075,3,0,0,0,0,0,0,0,0,0,33.5,15,9,0.6833,3.1047,2.2669,0.8174,2.7674,8.9564,23.8,4,4,3,4,4,4,4,4,3,4,3,4,3,5,5,0,0,3,338243.879135132,3018.15730017695,0,5,Renton,18,15.4347826086957,36.3,63.6675235646958,2,4,4
19,530330326043005,58.4792175292969,91.3157806396484,86.4297904968262,0.0264046644257882,0.645263580715821,44996.8716350656,53033032604,1,135,26244,0,100.00000000033,Snoqualmie/North Bend/Skykomish,24000,25,Snoqualmie and North Bend,Snoqualmie,1,53033032602,205.83,4,80.8,3,0.106,4,0,0,0,0,0,0,0,0,0,11.3,4.4,5.5,0.0436,0.3677,1.6914,0.5998,1.5044,4.1633,1.5,1,1,2,2,1,1,2,1,1,5,4,5,1,5,4,0,0,4,282483.012268066,2565.88675827452,0,3,Snoqualmie Valley,24.1,2.26377952755906,75.6,23.1897775674397,4,1,3
20,530330322241006,58.9139614105225,90.0663146972656,86.027229309082,0.378732277377388,0.379103613233973,11226.5591257647,53033032224,1,211,108975,0,99.9999999998718,Sammamish,21000,37,Sammamish,Sammamish,1,53033032214,,2,83,2,0.066,3,0,0,0,0,0,0,0,0,0,9.7,12.9,4.2,0.0928,0.38,2.0696,0.8287,1.4682,4.7465,3.09999999999999,1,1,3,4,1,1,4,1,1,2,2,4,2,4,4,0,0,2,1172956.37518311,7930.21203038383,0,3,Issaquah,40.1,4.9338146811071,100,0,5,1,1
21,530330321024011,55.0365581512451,90.8415946960449,80.2672996520996,0.476761550998749,0.0624760899383782,45207.706348148,53033032102,1,8,358461,0,100.000000000027,Covington/Maple Valley,8000,22,Newcastle and Four Creeks,King County,1,53033032102,153.41,2,79.8,4,0.116,5,0,0,0,0,0,0,0,0,0,18,2.7,11,0.1482,1.5752,2.0607,0.1786,1.4799,5.2944,5.5,2,2,3,1,1,2,1,1,4,1,1,5,1,5,1,0,0,2,3858500.11151123,17679.2128907186,0,9,Issaquah,19.3,6.80379746835443,92.7,1.3151239251391,3,1,1
22,530330240021012,61.7151489257813,85.4720230102539,83.6125106811523,0.102608941217361,0.516154694205992,1820.35162843102,53033024002,1,32,19244,0,99.9999999998433,Bellevue-West,4300,35,Bellevue - West,Bellevue,1,53033024000,105.21,1,85.5,1,0.045,1,0,0,0,0,0,0,0,0,0,34.6,13.1,7.5,0.2738,1.2012,2.1114,0.8445,2.1077,6.2648,10.4,2,2,3,4,2,4,4,2,2,5,3,1,3,1,1,0,0,1,207131.701416016,1912.4348026,0,6,Bellevue,22.8,21.2476837554046,44.4,55.5934128336173,4,5,4
23,530330260014020,62.3779449462891,89.6392135620117,87.6665649414063,0.0603871610561526,0.593018221745944,5471.71761157631,53033026001,1,20,17622,0,100.000000000424,Renton-South,20200,24,Skyway,West Hill (includes Skyway),1,53033026001,181.25,3,79.2,4,0.181,5,0,0,0,0,0,0,0,0,0,27.2,15.2,6.8,0.5215,2.1427,2.2957,0.9056,2.4357,7.7797,15.3,3,3,3,5,3,3,4,3,2,5,4,2,4,3,5,0,0,3,189680.51210022,2123.97795048844,0,2,Renton,18.7,16.4684354986276,93.9,5.12351326623971,2,4,1
