OBJECTID,BLOCK GEO ID,Median morning temperature,Median afternoon temperature,Median evening temperature,Percent tree coverage,Percent impervious coverage,Mean distance to water,TRACT GEO ID,Contains heat mapping,Total Pop,ALAND20,AWATER20,Percent heat mapping coverage,HRA name 2010,HRA ID 2010,HRA ID 2020,HRA name 2020,CITYNAME,include,2010 Census Tract Geo ID,Cardiovascular disease mortality rate,Quintile rank of cardiovascular disease mortality rate,Life expectancy,Quintile rank of life expectancy,Percent adults with diabetes,Quintile rank of adults with diabetes,Climate Change Disadvantaged,Clean Energy and Energy Efficiency Disadvantaged,Health Burdens Disadvantaged,Affordable and Sustainable Housing Disadvantaged,Reduction and Remediation of Legacy Pollution Disadvantaged,Clean Transit Disadvantaged,Training and Workforce Development Disadvantaged,Critical Clean Water and Waste Infrastructure Disadvantaged,Identified as disadvantaged,Percent of Population 65 Years and Over who Lives Alone,Percent of adults 18 years and over who have limited English ability,Percent of population with a disability,SVI Overall percentile ranking,SVI Sum of series for Socioeconomic Status theme,SVI Sum of series for Household Characteristics theme,SVI Sum of series for Racial and Ethnic Minority Status theme,SVI Sum of series for Housing Type / Transportation theme,SVI Sum of series themes,Percent of population whose income in the past 12 months is under 2.00x (200% of) the federal poverty level,Quintile rank of SVI overall theme,Quintile rank of SVI Socioeconomic Status theme,Quintile rank of SVI Household Characteristics theme,Quintile rank of SVI Racial and Ethnic Minority Status theme,Quintile rank of SVI Housing Type / Transportation theme,Quintile rank of senior social isolation,Quintile rank of limited English population,Quintile rank of population under 200% of the federal poverty level,Quintile rank of population with a disability,Quintile rank of tree coverage,Quintile rank of impervious coverage,Quintile rank of distance to water,Quintile rank of morning temperature,Quintile rank of afternoon temperature,Quintile rank of evening temperature,Percent LCI opportunity area coverage,Contains LCI opportunity area,Quintile rank of cardiovascular disease mortality rate,Shape__Area,Shape__Length,FEMA Community Disaster Resilience Zone,King County Council district,School District,Percent under 18 years old,Percent severe housing cost burdened,Percent single family homes,Percent multi-family homes,Quintile rank of population under 18,Quintile rank of households with severe housing cost burden,Quintile rank of multi-family homes
3432,530330253021024,62.4233360290527,90.957893371582,88.5410690307617,0.113012658227848,0.628600108064729,9010.30678998162,53033025302,1,41,8255,0,99.9999999995879,Renton-North,20100,23,Renton - North,Renton,1,53033025302,141.63,2,80.3,3,0.111,5,1,0,0,0,1,1,0,1,1,57.8,14.9,24.6,0.94,3.1666,3.3341,0.8779,4.0318,11.4104,37.8,5,4,5,4,5,5,4,5,5,4,4,3,4,5,5,0,0,2,88851.4005737305,1438.52655594541,1,5,Renton,14,25.6996587030717,14.1,84.6815286624204,1,5,5
3433,530330318003035,55.6432971954346,89.6722946166992,81.0058555603027,0.516837461450165,0.282150959449722,47659.561724101,53033031800,1,19,15111,0,100.000000000105,Covington/Maple Valley,8000,8,"East Highlands, Hobart, and Greater Maple Valley",King County,1,53033031800,242.2,5,79.8,4,0.09,4,0,0,0,0,0,0,0,0,0,8.4,13.8,9.7,0.2251,1.33,2.3501,0.6512,1.5432,5.8745,11.9,2,2,3,3,1,1,4,2,3,1,1,5,1,3,1,0,0,5,162664.695831299,1869.91481029762,0,9,Kent,19.6,11.4577084583083,92.2,4.91898148148148,3,2,1
3434,530330317052015,57.4949226379395,91.1110229492188,85.7997283935547,0.190680735829676,0.480233572065448,51450.7687245244,53033031705,1,80,26862,0,99.9999999994278,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031705,208.11,4,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,6.4,10,8.6,0.224,1.8585,2.1087,0.5709,1.3334,5.8715,5.7,2,3,3,2,1,1,3,1,3,4,3,5,1,5,3,0,0,4,289159.292663574,2166.42669908968,0,9,Kent,25.6,6.66666666666667,96,1.04239054899236,5,1,1
3435,530330320053001,56.6305103302002,91.046329498291,85.8744125366211,0.265613852813853,0.470794730155301,60643.1372149837,53033032005,1,97,30173,0,100.0000000004,Covington/Maple Valley,8000,11,Covington,Covington,1,53033032005,233.16,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,30.9,8,8.3,0.1318,1.5649,2.2314,0.5879,0.7837,5.1679,14.4,2,2,3,2,1,4,3,3,3,3,3,5,1,5,3,0,0,5,324795.479171753,2419.67280162866,0,9,Kent,25.5,10.4384943733023,99.6,0.441176470588235,5,2,1
3436,530330317091013,60.7528991699219,90.7896957397461,86.6560592651367,0.182957023022061,0.423467670903704,52504.1662427326,53033031709,1,45,16969,0,99.9999999993551,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,18.8,7,6.4,0.1239,1.4185,2.3031,0.6405,0.7475,5.1096,21.8,2,2,3,2,1,2,2,4,2,4,2,5,2,5,4,0,0,5,182663.294754028,1714.88855535983,0,9,Kent,26.6,10.3789126853377,96,4.03624382207578,5,2,1
3437,530330317102004,57.8862991333008,90.725700378418,86.1943664550781,0.0970293889632814,0.654882452039442,54417.2744140625,53033031710,1,153,23731,0,99.9999999993349,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,23.4,1.8,29,0.5255,2.6948,2.4629,0.6218,2.017,7.7965,9.2,3,4,4,2,2,3,1,2,5,5,4,5,1,5,4,0,0,5,255447.369979858,2363.2335950494,0,9,Kent,22.4,17.6543209876543,68.3,30.5555555555556,4,4,3
3438,530330317102012,61.663236618042,90.9736442565918,87.47802734375,0.249163628534926,0.433878121072891,50579.9448814288,53033031710,1,163,147558,0,99.9999999998042,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,23.4,1.8,29,0.5255,2.6948,2.4629,0.6218,2.017,7.7965,9.2,3,4,4,2,2,3,1,2,5,3,2,5,3,5,5,0,0,5,1588390.76350403,7814.46961593391,0,9,Kent,22.4,17.6543209876543,68.3,30.5555555555556,4,4,3
3439,530330317093004,61.3952960968018,90.3920059204102,85.5558280944824,0.217303098533597,0.427951959968861,51680.5717191829,53033031709,1,76,36577,0,100.000000000161,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,18.8,7,6.4,0.1239,1.4185,2.3031,0.6405,0.7475,5.1096,21.8,2,2,3,2,1,2,2,4,2,3,2,5,3,5,3,0,0,5,393735.782852173,3129.31857294727,0,9,Kent,26.6,10.3789126853377,96,4.03624382207578,5,2,1
3440,530330317101014,62.9703578948975,90.5639228820801,87.779972076416,0.0830162893576434,0.888009355309274,52895.9842278468,53033031710,1,0,58730,0,100.000000000292,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,23.4,1.8,29,0.5255,2.6948,2.4629,0.6218,2.017,7.7965,9.2,3,4,4,2,2,3,1,2,5,5,5,5,5,5,5,0,0,5,632200.546768188,3781.5492026516,0,9,Kent,22.4,17.6543209876543,68.3,30.5555555555556,4,4,3
3441,530330320073005,58.3608207702637,90.4945068359375,86.1960601806641,0.20302028472943,0.481027492721257,56315.6303421924,53033032007,1,80,32631,0,99.9999999993057,Covington/Maple Valley,8000,10,Maple Valley,Maple Valley,1,53033032007,291.21,5,79.8,4,0.063,3,0,0,0,0,0,0,0,0,0,6.8,2.5,10.2,0.1618,1.556,2.5597,0.0622,1.226,5.4039,9.09999999999999,2,2,4,1,1,1,1,2,4,3,3,5,1,5,4,0,0,5,351256.430374146,2826.28369397116,0,9,Tahoma,25.8,13.6690647482014,85.5,11.9167264895908,5,3,2
3442,530330317101003,61.6929244995117,89.7416534423828,86.7496185302734,0.191601743846423,0.386171652804008,54372.7242640399,53033031710,1,58,33985,0,100.000000000756,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,23.4,1.8,29,0.5255,2.6948,2.4629,0.6218,2.017,7.7965,9.2,3,4,4,2,2,3,1,2,5,4,2,5,3,3,4,0,0,5,365826.955429077,2847.29163055748,0,9,Kent,22.4,17.6543209876543,68.3,30.5555555555556,4,4,3
3443,530330317101002,61.424934387207,90.5103530883789,86.8659286499023,0.286895953777434,0.357149117564167,54270.1797203441,53033031710,1,215,179372,0,99.9999999998435,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,23.4,1.8,29,0.5255,2.6948,2.4629,0.6218,2.017,7.7965,9.2,3,4,4,2,2,3,1,2,5,2,2,5,3,5,5,0,0,5,1930846.15379333,6453.33818021987,0,9,Kent,22.4,17.6543209876543,68.3,30.5555555555556,4,4,3
3444,530330317101009,62.3791389465332,92.2548065185547,88.5656051635742,0.277419243808835,0.54013435280965,51431.4779873207,53033031710,1,47,24292,0,99.9999999994879,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,23.4,1.8,29,0.5255,2.6948,2.4629,0.6218,2.017,7.7965,9.2,3,4,4,2,2,3,1,2,5,3,3,5,4,5,5,0,0,5,261490.496307373,2333.23498114478,0,9,Kent,22.4,17.6543209876543,68.3,30.5555555555556,4,4,3
3445,530330312044013,55.4253635406494,90.898983001709,85.1442222595215,0.380549121834715,0.125318220486613,57148.807668853,53033031204,1,7,115788,0,99.9999999998116,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031204,294.07,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,11.7,4,11.6,0.1816,0.8808,2.0263,0.4081,2.2262,5.5414,13.1,2,1,2,1,2,1,2,2,4,2,1,5,1,5,2,0,0,5,1246426.89144897,4947.15600903037,0,9,Auburn,22.8,7.36656374062638,97.4,0,4,1,1
3446,530330312044010,56.513599395752,89.8352661132813,84.0616760253906,0.636753627232143,0.180452171041191,53418.1874565627,53033031204,1,49,125853,0,100.000000000255,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031204,294.07,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,11.7,4,11.6,0.1816,0.8808,2.0263,0.4081,2.2262,5.5414,13.1,2,1,2,1,2,1,2,2,4,1,1,5,1,4,1,0,0,5,1354774.50109863,8667.33282518104,0,9,Auburn,22.8,7.36656374062638,97.4,0,4,1,1
3447,530330317102010,61.2064743041992,91.3078002929688,87.0332107543945,0.140210110356127,0.434617779507592,53209.6296021911,53033031710,1,95,34698,0,100.000000000079,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,23.4,1.8,29,0.5255,2.6948,2.4629,0.6218,2.017,7.7965,9.2,3,4,4,2,2,3,1,2,5,4,2,5,2,5,5,0,0,5,373505.198440552,2990.34017368527,0,9,Kent,22.4,17.6543209876543,68.3,30.5555555555556,4,4,3
3448,530330321022015,55.7840003967285,89.5324249267578,82.579963684082,0.539198682012677,0.139985757389451,46923.4703150447,53033032102,1,30,87098,4258,99.999999999837,Newcastle/Four Creeks,17000,38,"Duvall, Carnation, Skykomish, and Northeast King County",King County,1,53033032102,153.41,2,80.6,3,0.069,3,0,0,0,0,0,0,0,0,0,18,2.7,11,0.1482,1.5752,2.0607,0.1786,1.4799,5.2944,5.5,2,2,3,1,1,2,1,1,4,1,1,5,1,3,1,0,0,2,983357.182678223,4137.10678852893,0,3,Issaquah,19.3,6.80379746835443,92.7,1.3151239251391,3,1,1
3449,530330317101006,63.2409782409668,91.2787246704102,87.0481948852539,0,0.686686171956112,49890.5044413527,53033031710,1,0,7376,0,100.000000000122,Covington/Maple Valley,8000,11,Covington,Covington,1,53033031706,238.59,5,79.8,4,0.14,5,0,0,0,0,0,0,0,0,0,23.4,1.8,29,0.5255,2.6948,2.4629,0.6218,2.017,7.7965,9.2,3,4,4,2,2,3,1,2,5,5,5,5,5,5,5,0,0,5,79401.6279754639,2319.57697714712,0,9,Kent,22.4,17.6543209876543,68.3,30.5555555555556,4,4,3
3450,530330312044005,55.4808807373047,90.544319152832,84.8824310302734,0.39894041095251,0.150701919172222,52420.1624660021,53033031204,1,83,223901,0,99.9999999998295,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031204,294.07,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,11.7,4,11.6,0.1816,0.8808,2.0263,0.4081,2.2262,5.5414,13.1,2,1,2,1,2,1,2,2,4,2,1,5,1,5,2,0,0,5,2410214.8266449,6925.15496434095,0,9,Auburn,22.8,7.36656374062638,97.4,0,4,1,1
3451,530330312045004,56.0230293273926,90.3930435180664,83.901008605957,0.553645665494221,0.127141802843199,60093.8098633871,53033031204,1,28,91456,0,100.000000000163,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031204,294.07,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,11.7,4,11.6,0.1816,0.8808,2.0263,0.4081,2.2262,5.5414,13.1,2,1,2,1,2,1,2,2,4,1,1,5,1,5,1,0,0,5,984507.04019165,5435.78313411562,0,9,Auburn,22.8,7.36656374062638,97.4,0,4,1,1
3452,530330320061006,56.4661521911621,89.588249206543,84.5347595214844,0.476389557126108,0.320150518623165,59536.8028357788,53033032006,1,43,44744,0,99.9999999998056,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033032006,232.74,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,12.7,3.3,8.2,0.2172,1.7096,2.1177,0.2589,1.7291,5.8153,9.09999999999999,2,3,3,1,2,1,1,2,2,1,2,5,1,3,2,0,0,5,481648.446716309,2893.9531210424,0,9,Kent,22.7,10.5670103092784,81.3,13.8069034517259,4,2,2
3453,530330320063015,56.0711479187012,90.1992340087891,84.8843841552734,0.411780645514142,0.245521419386141,57717.7444098877,53033032006,1,151,252226,0,99.9999999999573,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033032006,232.74,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,12.7,3.3,8.2,0.2172,1.7096,2.1177,0.2589,1.7291,5.8153,9.09999999999999,2,3,3,1,2,1,1,2,2,1,1,5,1,4,2,0,0,5,2715103.23486328,8506.07258162371,0,9,Kent,22.7,10.5670103092784,81.3,13.8069034517259,4,2,2
3454,530330312044012,55.5720348358154,90.3240509033203,84.5466384887695,0.394642150026686,0.195009365011445,57367.0674189815,53033031204,1,13,48563,0,100.000000000126,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031204,294.07,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,11.7,4,11.6,0.1816,0.8808,2.0263,0.4081,2.2262,5.5414,13.1,2,1,2,1,2,1,2,2,4,2,1,5,1,4,2,0,0,5,522764.637481689,3791.55703501584,0,9,Auburn,22.8,7.36656374062638,97.4,0,4,1,1
3455,530330316013001,55.4729118347168,91.3054809570313,86.028450012207,0.509689463643761,0.195928392224558,54050.9845520968,53033031601,1,26,76812,0,100.000000000081,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031601,251.54,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,14,4.8,10.6,0.2245,1.8991,2.0521,0.4573,1.464,5.8725,13.8,2,3,2,2,1,2,2,3,4,1,1,5,1,5,4,0,0,5,826853.107650757,4177.55022882438,0,9,Kent,23.7,8.52017937219731,96.3,0,4,1,1
3456,530330312044018,56.2250633239746,90.9130592346191,84.048713684082,0.371151196292121,0.141056037043302,55832.5460835071,53033031204,1,22,83433,0,99.9999999997829,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031204,294.07,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,11.7,4,11.6,0.1816,0.8808,2.0263,0.4081,2.2262,5.5414,13.1,2,1,2,1,2,1,2,2,4,2,1,5,1,5,1,0,0,5,898139.510101318,5509.45988747141,0,9,Auburn,22.8,7.36656374062638,97.4,0,4,1,1
3457,530330312045000,55.7594223022461,90.0397033691406,82.4920196533203,0.67312858260888,0.0805490920054959,58793.7015269886,53033031204,1,27,59288,0,100.000000000367,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031204,294.07,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,11.7,4,11.6,0.1816,0.8808,2.0263,0.4081,2.2262,5.5414,13.1,2,1,2,1,2,1,2,2,4,1,1,5,1,4,1,0,0,5,638219.484725952,4275.24755837567,0,9,Auburn,22.8,7.36656374062638,97.4,0,4,1,1
3458,530330312044014,55.6408424377441,89.9962005615234,82.8184661865234,0.104119372529014,0.823535859769853,58120.845630787,53033031204,1,0,8197,0,100.000000000587,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031204,294.07,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,11.7,4,11.6,0.1816,0.8808,2.0263,0.4081,2.2262,5.5414,13.1,2,1,2,1,2,1,2,2,4,5,5,5,1,4,1,0,0,5,88234.166305542,1853.10566424842,0,9,Auburn,22.8,7.36656374062638,97.4,0,4,1,1
3459,530330316012004,55.804838180542,90.174991607666,83.5148086547852,0.559144880902518,0.153783102139171,61871.5178346942,53033031601,1,212,683179,0,99.99999999992,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031601,251.54,5,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,14,4.8,10.6,0.2245,1.8991,2.0521,0.4573,1.464,5.8725,13.8,2,3,2,2,1,2,2,3,4,1,1,5,1,4,1,0,0,5,7354202.01741028,14506.0136081452,0,9,Kent,23.7,8.52017937219731,96.3,0,4,1,1
3460,530330318003034,55.5055751800537,89.7482528686523,81.1123352050781,0.682086315564576,0.108852463614344,48100.1223683575,53033031800,1,30,194197,1470,100.000000000151,Covington/Maple Valley,8000,8,"East Highlands, Hobart, and Greater Maple Valley",King County,1,53033031800,242.2,5,79.8,4,0.09,4,0,0,0,0,0,0,0,0,0,8.4,13.8,9.7,0.2251,1.33,2.3501,0.6512,1.5432,5.8745,11.9,2,2,3,3,1,1,4,2,3,1,1,5,1,3,1,0,0,5,2106227.01951599,7532.5942422941,0,9,Kent,19.6,11.4577084583083,92.2,4.91898148148148,3,2,1
3461,530330319082003,58.0617904663086,90.3228302001953,85.7438201904297,0.306688988827977,0.434771248150523,28683.2710733696,53033031908,1,119,57306,0,100.000000000237,Fairwood,11000,17,Fairwood,King County,1,53033031908,232.61,5,79.7,4,0.075,3,0,0,0,0,0,0,0,0,0,32.7,6.9,11.1,0.7551,3.0524,2.8103,0.7484,2.853,9.4641,25.9,4,4,4,3,4,4,2,4,4,2,2,5,1,4,3,0,0,5,616848.51776123,5750.32562222951,0,9,Kent,22.4,22.3784417106034,33.8,65.7035848047084,4,5,5
3462,530330224021041,63.7511692047119,89.5057563781738,85.113941192627,0.242230839661766,0.796178601690204,1250.24921256617,53033022402,1,150,15532,0,100.00000000102,Kirkland,15000,51,Kirkland - South,Kirkland,1,53033022400,129.45,2,82.8,2,0.051,2,0,0,0,0,0,0,0,0,0,43.2,4.6,8.4,0.3507,1.5226,1.9786,0.372,2.8761,6.7493,13.2,3,2,2,1,4,5,2,2,3,3,5,1,5,3,2,0,0,2,167173.545776367,1869.10171978136,0,6,Lake Washington,19,19.1790773701417,39.9,60.0956610864366,2,5,4
3463,530330225022009,63.6277141571045,90.5866889953613,85.3555335998535,0.0904712292268015,0.946087259604615,745.420843707628,53033022502,1,0,12244,0,99.99999999882,Kirkland,15000,51,Kirkland - South,Kirkland,1,53033022500,103.83,1,82.8,2,0.051,2,0,0,0,0,0,0,0,0,0,47,5.8,11.4,0.2161,1.2578,2.3495,0.5698,1.6324,5.8095,10.4,2,2,3,2,2,5,2,2,4,5,5,1,5,5,3,0,0,1,131789.1121521,1569.42149446651,0,6,Lake Washington,9.1,12.1021775544389,15,84.9767080745342,1,3,5
3464,530330225022014,63.271484375,90.1804733276367,85.2116317749023,0.101653558229887,0.947470165425166,602.347922585227,53033022502,1,18,8821,0,99.9999999987229,Kirkland,15000,51,Kirkland - South,Kirkland,1,53033022500,103.83,1,82.8,2,0.051,2,0,0,0,0,0,0,0,0,0,47,5.8,11.4,0.2161,1.2578,2.3495,0.5698,1.6324,5.8095,10.4,2,2,3,2,2,5,2,2,4,5,5,1,5,4,2,0,0,1,94939.1371765137,1332.18837180304,0,6,Lake Washington,9.1,12.1021775544389,15,84.9767080745342,1,3,5
3465,530330224021035,63.3471336364746,88.7852478027344,84.9862823486328,0.274471875795368,0.559883943565254,1806.13259742374,53033022402,1,43,8221,0,99.9999999985692,Kirkland,15000,51,Kirkland - South,Kirkland,1,53033022400,129.45,2,82.8,2,0.051,2,0,0,0,0,0,0,0,0,0,43.2,4.6,8.4,0.3507,1.5226,1.9786,0.372,2.8761,6.7493,13.2,3,2,2,1,4,5,2,2,3,3,4,1,5,2,2,0,0,2,88489.767578125,1502.08493815722,0,6,Lake Washington,19,19.1790773701417,39.9,60.0956610864366,2,5,4
3466,530330225022008,63.7769470214844,89.6488876342773,85.2571563720703,0.025420049494204,0.920299062829787,1119.89246865977,53033022502,1,13,9628,0,100.000000000055,Kirkland,15000,51,Kirkland - South,Kirkland,1,53033022500,103.83,1,82.8,2,0.051,2,0,0,0,0,0,0,0,0,0,47,5.8,11.4,0.2161,1.2578,2.3495,0.5698,1.6324,5.8095,10.4,2,2,3,2,2,5,2,2,4,5,5,1,5,3,3,0,0,1,103631.53012085,1341.72180030841,0,6,Lake Washington,9.1,12.1021775544389,15,84.9767080745342,1,3,5
3467,530330224021034,63.3742828369141,88.9452209472656,85.0099868774414,0.192715017330919,0.764271222071133,1748.04978376116,53033022402,1,143,17429,0,100.00000000046,Kirkland,15000,51,Kirkland - South,Kirkland,1,53033022400,129.45,2,82.8,2,0.051,2,0,0,0,0,0,0,0,0,0,43.2,4.6,8.4,0.3507,1.5226,1.9786,0.372,2.8761,6.7493,13.2,3,2,2,1,4,5,2,2,3,4,5,1,5,2,2,0,0,2,187593.089782715,1875.33221463405,0,6,Lake Washington,19,19.1790773701417,39.9,60.0956610864366,2,5,4
3468,530330225021012,63.7583293914795,89.5708999633789,85.6123123168945,0.182225417542307,0.749360422183553,783.775524591996,53033022502,1,28,11340,0,100.000000000324,Kirkland,15000,51,Kirkland - South,Kirkland,1,53033022500,103.83,1,82.8,2,0.051,2,0,0,0,0,0,0,0,0,0,47,5.8,11.4,0.2161,1.2578,2.3495,0.5698,1.6324,5.8095,10.4,2,2,3,2,2,5,2,2,4,4,5,1,5,3,3,0,0,1,122050.74798584,1445.64045985954,0,6,Lake Washington,9.1,12.1021775544389,15,84.9767080745342,1,3,5
3469,530330249012016,61.1307792663574,90.1234283447266,86.6151962280273,0.103987548176697,0.444882824221018,8738.17623814174,53033024901,1,53,28202,0,99.9999999995868,Bellevue-South,4200,31,Bellevue - South,Bellevue,1,53033024901,113.14,1,83.7,1,0.053,2,0,0,0,0,0,0,0,0,0,19.4,18.3,5.3,0.0995,0.3903,2.7275,0.9022,0.8233,4.8433,4.3,1,1,4,5,1,2,4,1,1,5,2,3,2,4,4,0,0,1,303558.583648682,2093.57559828068,0,9,Bellevue,21.7,7.66832917705736,98.7,1.31729667812142,4,1,1
3470,530330249011002,60.7900161743164,89.5059089660645,85.3646965026855,0.244718351232581,0.476569355215057,7814.52787065237,53033024901,1,43,17785,0,100.00000000051,Bellevue-South,4200,31,Bellevue - South,Bellevue,1,53033024901,113.14,1,83.7,1,0.053,2,0,0,0,0,0,0,0,0,0,19.4,18.3,5.3,0.0995,0.3903,2.7275,0.9022,0.8233,4.8433,4.3,1,1,4,5,1,2,4,1,1,3,3,3,2,3,3,0,0,1,191434.885650635,1782.66453873617,0,9,Bellevue,21.7,7.66832917705736,98.7,1.31729667812142,4,1,1
3471,530330234012019,63.1701164245605,88.7274284362793,85.7063636779785,0.0775705690669862,0.660080920744154,7911.13697629442,53033023401,1,0,50932,0,99.9999999994875,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033023401,169.28,3,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,38.3,17.8,11.2,0.6188,1.7815,3.0478,0.892,2.7873,8.5086,18.4,4,3,5,4,4,4,4,4,4,5,4,3,5,2,3,0,0,3,548217.633209229,5979.4931571963,0,6,Bellevue,18.8,14.9271844660194,56.9,43.0742255990649,2,4,4
3472,530330249012005,61.4133682250977,90.0468788146973,87.6850776672363,0.142310529861108,0.547789676946153,7442.1315740118,53033024901,1,124,45619,0,100.000000000057,Bellevue-South,4200,31,Bellevue - South,Bellevue,1,53033024901,113.14,1,83.7,1,0.053,2,0,0,0,0,0,0,0,0,0,19.4,18.3,5.3,0.0995,0.3903,2.7275,0.9022,0.8233,4.8433,4.3,1,1,4,5,1,2,4,1,1,4,4,3,3,4,5,0,0,1,491027.873123169,4144.18329073929,0,9,Bellevue,21.7,7.66832917705736,98.7,1.31729667812142,4,1,1
3473,530330249012002,61.5852508544922,90.2002029418945,87.5197372436523,0.100963575196245,0.544706947062952,7677.24311668472,53033024901,1,121,50330,0,99.9999999998199,Bellevue-South,4200,31,Bellevue - South,Bellevue,1,53033024901,113.14,1,83.7,1,0.053,2,0,0,0,0,0,0,0,0,0,19.4,18.3,5.3,0.0995,0.3903,2.7275,0.9022,0.8233,4.8433,4.3,1,1,4,5,1,2,4,1,1,5,4,3,3,4,5,0,0,1,541729.826644897,5065.56439059395,0,9,Bellevue,21.7,7.66832917705736,98.7,1.31729667812142,4,1,1
3474,530330249012004,61.7831916809082,90.4174499511719,86.9372863769531,0.144281613536788,0.522463020221628,8051.40102716979,53033024901,1,62,24907,0,100.000000000322,Bellevue-South,4200,31,Bellevue - South,Bellevue,1,53033024901,113.14,1,83.7,1,0.053,2,0,0,0,0,0,0,0,0,0,19.4,18.3,5.3,0.0995,0.3903,2.7275,0.9022,0.8233,4.8433,4.3,1,1,4,5,1,2,4,1,1,4,3,3,3,5,5,0,0,1,268084.045349121,2633.71748716233,0,9,Bellevue,21.7,7.66832917705736,98.7,1.31729667812142,4,1,1
3475,530330249013000,60.3673629760742,90.291259765625,85.8964538574219,0.204508009607559,0.521353359319301,8635.96113144349,53033024901,1,44,21059,0,99.9999999993378,Bellevue-South,4200,31,Bellevue - South,Bellevue,1,53033024901,113.14,1,83.7,1,0.053,2,0,0,0,0,0,0,0,0,0,19.4,18.3,5.3,0.0995,0.3903,2.7275,0.9022,0.8233,4.8433,4.3,1,1,4,5,1,2,4,1,1,3,3,3,2,4,3,0,0,1,226663.927474976,2189.10318417635,0,9,Bellevue,21.7,7.66832917705736,98.7,1.31729667812142,4,1,1
3476,530330248001013,61.4520149230957,87.5037155151367,84.0464515686035,0.291286182192748,0.458992718877465,7999.70971131057,53033024800,1,56,18062,0,99.9999999997279,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033024800,176.72,3,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,7.2,18,7.9,0.5786,2.4121,2.682,0.8423,2.2977,8.2341,16,4,4,4,4,3,1,4,3,2,2,3,3,3,1,1,0,0,3,194408.312683105,1917.77764595627,0,9,Bellevue,21.1,12.3340471092077,58.2,41.7627677100494,3,3,3
