GEO_ID,STATE,COUNTY,TRACT,NAME,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM,LONG_90_DAY,MAX_WBT,EXPOSED
1400000US53033032315,53,33,32315,"Census Tract 323.15, King County, Washington",5440,2369,648,43.55,11.9,2087,689,38.36,12.66,984,549,18.09,10.08,0,79.7,0
1400000US53033032316,53,33,32316,"Census Tract 323.16, King County, Washington",5848,2261,625,38.66,10.69,2885,664,49.33,11.36,702,520,12,8.89,0,79.7,0
1400000US53033032317,53,33,32317,"Census Tract 323.17, King County, Washington",6542,3072,734,46.96,11.22,2546,804,38.92,12.29,924,671,14.12,10.25,0,78.5,0
1400000US53033032318,53,33,32318,"Census Tract 323.18, King County, Washington",6907,2962,780,42.88,11.3,3463,842,50.14,12.18,482,669,6.98,9.68,0,78.5,0
1400000US53033032319,53,33,32319,"Census Tract 323.19, King County, Washington",5995,1272,714,21.22,11.91,3265,803,54.46,13.39,1458,705,24.32,11.75,0,79.7,0
1400000US53033032320,53,33,32320,"Census Tract 323.20, King County, Washington",4400,1537,458,34.93,10.42,2163,491,49.16,11.15,700,400,15.91,9.1,0,79.7,0
1400000US53033032321,53,33,32321,"Census Tract 323.21, King County, Washington",7860,3574,885,45.47,11.26,3432,963,43.66,12.25,854,788,10.87,10.03,0,79.7,0
1400000US53033032322,53,33,32322,"Census Tract 323.22, King County, Washington",3242,1379,362,42.54,11.16,1439,388,44.39,11.96,424,314,13.08,9.68,0,79.7,0
1400000US53033032323,53,33,32323,"Census Tract 323.23, King County, Washington",6630,1863,718,28.1,10.83,3176,820,47.9,12.37,1591,717,24,10.81,0,79.7,0
1400000US53033032324,53,33,32324,"Census Tract 323.24, King County, Washington",5853,1443,696,24.65,11.9,3293,782,56.26,13.36,1117,658,19.08,11.25,0,79.7,0
1400000US53033032325,53,33,32325,"Census Tract 323.25, King County, Washington",7233,1911,832,26.42,11.5,4139,938,57.22,12.96,1183,781,16.36,10.8,0,79.7,0
1400000US53033032326,53,33,32326,"Census Tract 323.26, King County, Washington",3686,1605,379,43.54,10.29,1577,415,42.78,11.26,504,350,13.67,9.51,0,79.7,0
1400000US53033032327,53,33,32327,"Census Tract 323.27, King County, Washington",4173,701,360,16.8,8.62,1948,482,46.68,11.56,1524,478,36.52,11.46,0,79.7,0
1400000US53033032328,53,33,32328,"Census Tract 323.28, King County, Washington",3241,1377,361,42.49,11.14,1337,384,41.25,11.86,527,304,16.26,9.39,0,79.7,0
1400000US53033032330,53,33,32330,"Census Tract 323.30, King County, Washington",5286,697,641,13.19,12.13,3374,724,63.83,13.7,1215,613,22.99,11.6,0,79.7,0
1400000US53033032331,53,33,32331,"Census Tract 323.31, King County, Washington",5553,801,662,14.42,11.93,3583,733,64.52,13.2,1169,592,21.05,10.66,0,79.7,0
1400000US53033032332,53,33,32332,"Census Tract 323.32, King County, Washington",5556,1779,603,32.02,10.85,3225,650,58.05,11.69,552,513,9.94,9.23,0,79.7,0
1400000US53033032333,53,33,32333,"Census Tract 323.33, King County, Washington",4437,1464,493,33,11.1,1366,556,30.79,12.52,1607,481,36.22,10.85,0,79.7,0
1400000US53033032401,53,33,32401,"Census Tract 324.01, King County, Washington",6463,2368,776,36.64,12.01,3111,822,48.14,12.71,984,642,15.23,9.94,0,79.7,0
1400000US53033032402,53,33,32402,"Census Tract 324.02, King County, Washington",6618,1930,721,29.16,10.9,2609,790,39.42,11.94,2079,659,31.41,9.96,0,79.7,0
1400000US53033032500,53,33,32500,"Census Tract 325, King County, Washington",5657,1816,522,32.1,9.23,3119,556,55.14,9.83,722,444,12.76,7.86,0,79.7,0
1400000US53033032601,53,33,32601,"Census Tract 326.01, King County, Washington",2777,813,342,29.28,12.3,1238,366,44.58,13.18,726,297,26.14,10.71,0,78.5,0
1400000US53033032603,53,33,32603,"Census Tract 326.03, King County, Washington",4526,2551,538,56.36,11.88,1582,563,34.95,12.44,393,423,8.68,9.33,0,78.5,0
1400000US53033032604,53,33,32604,"Census Tract 326.04, King County, Washington",5723,2736,602,47.81,10.52,2393,630,41.81,11.02,594,461,10.38,8.06,0,78.5,0
1400000US53033032605,53,33,32605,"Census Tract 326.05, King County, Washington",3999,1477,455,36.93,11.37,2092,492,52.31,12.29,430,397,10.75,9.92,0,78.5,0
1400000US53033032703,53,33,32703,"Census Tract 327.03, King County, Washington",1881,636,235,33.81,12.48,944,250,50.19,13.3,301,200,16,10.61,0,78.5,0
1400000US53033032704,53,33,32704,"Census Tract 327.04, King County, Washington",7420,3022,752,40.73,10.13,2713,804,36.56,10.84,1685,649,22.71,8.74,0,78.5,0
1400000US53033032705,53,33,32705,"Census Tract 327.05, King County, Washington",3595,1465,419,40.75,11.66,1573,455,43.76,12.64,557,372,15.49,10.33,0,78.5,0
1400000US53033032706,53,33,32706,"Census Tract 327.06, King County, Washington",3005,921,294,30.65,9.77,1475,359,49.08,11.94,609,322,20.27,10.7,0,75.6,0
1400000US53033032800,53,33,32800,"Census Tract 328, King County, Washington",2810,594,278,21.14,9.91,1590,349,56.58,12.4,626,322,22.28,11.47,0,75.6,0
1400000US53033990100,53,33,990100,"Census Tract 9901, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,2,79.8,1
